Date,ACB.VN,BCM.VN,BID.VN,CTG.VN,DGC.VN,FPT.VN,GAS.VN,GVR.VN,HDB.VN,HPG.VN,LPB.VN,MBB.VN,MSN.VN,MWG.VN,PLX.VN,SAB.VN,SHB.VN,SSB.VN,SSI.VN,STB.VN,TCB.VN,TPB.VN,VCB.VN,VHM.VN,VIB.VN,VIC.VN,VJC.VN,VNM.VN,VPB.VN,VRE.VN,^VNINDEX
2024-03-18,18550.97265625,63631.484375,42502.375,22755.087890625,110240.9140625,82322.15625,68365.5703125,31796.572265625,13447.6181640625,22424.2421875,12800.244140625,14602.5830078125,77900.0,44892.0859375,33986.87109375,47757.58984375,8071.7509765625,19763.142578125,28719.193359375,30250.0,18353.552734375,13031.763671875,61756.58203125,42100.0,15342.7529296875,23050.0,101800.0,60064.79296875,16823.642578125,27550.0,1243.56
2024-03-19,18516.48828125,63434.484375,42175.43359375,22755.087890625,110987.0390625,81593.6484375,67939.3515625,31796.572265625,13477.76953125,22575.7578125,12879.99609375,14602.5830078125,77400.0,44500.8671875,34871.46484375,47926.046875,8107.94775390625,19763.142578125,28327.390625,30400.0,18445.091796875,12960.5517578125,61424.5546875,42900.0,15239.3193359375,23500.0,101000.0,59976.3359375,16777.42578125,26750.0,1242.46
2024-03-20,18964.748046875,64025.48828125,43319.7265625,23472.58984375,114531.171875,83414.9296875,69047.5078125,32040.78515625,13628.52734375,22727.2734375,13557.8916015625,15200.5341796875,77300.0,46945.96875,34871.46484375,47926.046875,8216.5361328125,19851.173828125,29150.177734375,31150.0,19360.48046875,13245.3984375,61889.390625,42500.0,16273.6611328125,23250.0,101200.0,60153.25390625,17239.61328125,26350.0,1260.08
2024-03-21,19309.560546875,64714.99609375,43319.7265625,23848.42578125,114717.703125,84653.390625,69047.5078125,32480.3671875,14412.4697265625,22916.666015625,13438.2626953125,15578.1865234375,78000.0,47434.98828125,35802.609375,48178.734375,8288.927734375,19851.173828125,29502.80078125,31500.0,20642.025390625,13352.216796875,63217.48828125,42900.0,16756.353515625,23250.0,102600.0,60507.09375,17332.05078125,26950.0,1276.42
2024-03-22,19413.00390625,64714.99609375,44300.55078125,24395.09375,115277.3046875,83706.3359375,68621.3046875,32480.3671875,14352.166015625,23143.939453125,13398.38671875,15767.013671875,78500.0,48021.81640625,35383.59375,48262.96484375,8361.3212890625,19675.109375,29620.341796875,31650.0,20550.486328125,13352.216796875,64014.34765625,42800.0,16687.3984375,23300.0,102200.0,59976.3359375,17378.26953125,26700.0,1281.8
2024-03-25,18964.748046875,64123.98828125,43319.7265625,23711.7578125,111919.7109375,83050.65625,68536.046875,31161.6171875,14201.408203125,22878.787109375,13199.005859375,15546.7158203125,75500.0,47239.3828125,34824.90234375,48010.2734375,8288.927734375,19455.029296875,29385.26171875,30850.0,20504.716796875,13530.2470703125,63549.515625,42550.0,16515.0078125,23425.0,100700.0,59534.03125,17470.70703125,26050.0,1267.86
2024-03-26,19275.078125,64123.98828125,43319.7265625,24053.42578125,112572.5703125,83779.1875,68791.78125,33115.32421875,14593.37890625,23143.939453125,13438.2626953125,15892.8974609375,74000.0,47581.6953125,35383.59375,47926.046875,8325.125,19631.09375,29777.064453125,31000.0,21031.06640625,13637.0654296875,63947.94140625,42750.0,16790.833984375,23525.0,101900.0,59887.875,18117.76953125,26400.0,1282.21
2024-03-27,19309.560546875,64222.4921875,42911.05078125,24258.427734375,112572.5703125,83924.890625,68450.8125,32626.89453125,14563.2275390625,23181.818359375,13358.5107421875,15924.3671875,75400.0,49586.68359375,35383.59375,48431.421875,8325.125,19543.0625,30168.869140625,30900.0,20847.98828125,13672.6708984375,63615.9140625,42500.0,16687.3984375,23525.0,103000.0,59887.875,18117.76953125,25950.0,1283.09
2024-03-28,19550.931640625,64320.9921875,42992.7890625,24429.259765625,115557.1015625,85309.0625,68450.8125,32284.998046875,14623.53125,23143.939453125,13478.138671875,16050.25390625,76000.0,49880.09375,34964.578125,48178.734375,8397.517578125,19543.0625,30678.212890625,32000.0,21969.33984375,13601.458984375,63549.515625,43300.0,16721.876953125,23800.0,103200.0,59887.875,18163.98828125,25650.0,1290.18
2024-03-29,19654.373046875,63926.98828125,42584.109375,24292.59375,115090.765625,84871.953125,68365.5703125,32382.68359375,14533.076171875,22916.666015625,13996.5283203125,15987.3115234375,74200.0,49977.8984375,34731.7890625,47757.58984375,8252.732421875,19455.029296875,30168.869140625,31600.0,21763.375,13601.458984375,63018.2734375,42850.0,16963.224609375,23825.0,103000.0,59799.41015625,18256.427734375,25850.0,1284.09
2024-04-01,19619.890625,63335.984375,42584.109375,23916.759765625,112199.5078125,85090.515625,68706.5390625,32187.3125,14472.7724609375,22803.03125,13797.1474609375,15672.599609375,73400.0,50271.30859375,34871.46484375,47841.8203125,8288.927734375,19455.029296875,30403.94921875,31400.0,21717.607421875,13352.216796875,63217.48828125,42900.0,16756.353515625,23925.0,102700.0,59268.64453125,18163.98828125,25700.0,1281.52
2024-04-02,19585.41015625,64419.4921875,42420.640625,23916.759765625,114344.640625,85236.21875,70326.171875,34434.07421875,14412.4697265625,23030.302734375,13837.0244140625,15609.658203125,74500.0,50466.91796875,35290.4765625,47504.90625,8252.732421875,19411.013671875,30482.30859375,30200.0,21809.146484375,13423.4287109375,62752.65625,43150.0,16618.44140625,23900.0,103000.0,59534.03125,18071.552734375,25550.0,1287.04
2024-04-03,19309.560546875,63434.484375,41685.0234375,23267.58984375,114158.1015625,83852.03125,69729.46875,33457.22265625,14110.953125,22689.39453125,13757.2724609375,15232.0048828125,73400.0,49097.66015625,35011.1328125,47167.9921875,8144.14404296875,19366.998046875,29816.24609375,30100.0,21420.10546875,13174.1875,62287.8203125,43100.0,16239.18359375,23875.0,102200.0,59003.265625,17886.677734375,25500.0,1271.47
