Date,ACB.VN,BCM.VN,BID.VN,CTG.VN,DGC.VN,FPT.VN,GAS.VN,GVR.VN,HDB.VN,HPG.VN,LPB.VN,MBB.VN,MSN.VN,MWG.VN,PLX.VN,SAB.VN,SHB.VN,SSB.VN,SSI.VN,STB.VN,TCB.VN,TPB.VN,VCB.VN,VHM.VN,VIB.VN,VIC.VN,VJC.VN,VNM.VN,VPB.VN,VRE.VN
2024-09-26,21591.08203125,70920.5390625,40867.66796875,24873.4296875,107349.65625,113540.40625,69589.21875,35557.45703125,18184.388671875,21708.333984375,25600.48828125,16723.248046875,76100.0,67331.203125,44121.08203125,50595.66796875,8217.0615234375,17000.0,26816.771484375,32750.0,23478.064453125,14728.3291015625,61424.5546875,44400.0,16277.48828125,21300.0,105100.0,64716.66796875,19081.48046875,19200.0
2024-09-27,21508.0390625,70231.0390625,40949.40234375,25283.431640625,107256.3828125,113455.859375,69119.0234375,35166.71484375,18184.388671875,21708.333984375,25680.240234375,16723.248046875,75900.0,66542.5546875,43492.16015625,50944.00390625,8408.15625,17000.0,26914.28515625,33600.0,23575.484375,14949.4755859375,61424.5546875,43400.0,16235.537109375,21250.0,105100.0,64991.27734375,19227.513671875,19400.0
2024-09-30,21383.4765625,69147.53125,40622.4609375,25249.263671875,107722.71875,113709.4921875,68836.8984375,34922.50390625,18120.1328125,21958.333984375,25480.859375,16723.248046875,75700.0,67134.0390625,43056.7578125,50334.4140625,8408.15625,17050.0,27206.83203125,33350.0,23575.484375,15214.8505859375,61092.53125,42800.0,16193.5849609375,21000.0,105000.0,64167.44921875,19568.25390625,19100.0
2024-10-01,21383.4765625,69246.03125,40622.4609375,24941.763671875,108189.0546875,114893.0859375,68648.8203125,35166.71484375,17991.62109375,22291.666015625,25281.478515625,16690.7109375,76600.0,66838.296875,43056.7578125,50334.4140625,8446.375,17450.0,27109.31640625,33500.0,24013.87109375,15126.392578125,61092.53125,43450.0,16613.109375,21150.0,105300.0,64167.44921875,19373.544921875,19400.0
2024-10-02,21424.998046875,68458.0234375,40704.1953125,24600.095703125,108189.0546875,114470.3828125,68554.78125,35313.2421875,17702.470703125,21916.666015625,25082.09765625,16723.248046875,76000.0,66443.96875,43492.16015625,49550.66015625,8331.71875,17550.0,26914.28515625,33550.0,24257.419921875,15480.2255859375,61557.36328125,43400.0,16403.345703125,21025.0,105000.0,64167.44921875,19178.8359375,19150.0
2024-10-03,21341.955078125,68064.0234375,40458.9921875,24736.76171875,106883.328125,113286.7890625,68178.625,34727.1328125,17766.7265625,21833.333984375,25002.34765625,16593.10546875,76000.0,65359.57421875,42960.0,49463.578125,8369.9375,17800.0,26865.529296875,33750.0,23721.61328125,15480.2255859375,61490.9609375,41600.0,16151.6328125,20675.0,105500.0,64350.515625,19470.8984375,18650.0
2024-10-04,21092.828125,66882.0078125,40213.78515625,24326.76171875,105857.390625,113371.3203125,68930.9375,34092.17578125,17541.830078125,21833.333984375,25121.974609375,16332.8203125,75600.0,65458.15625,43637.296875,49289.40625,8293.5,17500.0,26621.740234375,33100.0,23429.35546875,15259.0810546875,61291.7421875,41500.0,16151.6328125,20500.0,105300.0,62702.85546875,19470.8984375,18300.0
2024-10-07,21134.349609375,67374.515625,40091.18359375,24463.427734375,106323.7265625,113371.3203125,68554.78125,33994.4921875,17252.6796875,22000.0,25321.35546875,16397.892578125,74800.0,65359.57421875,43492.16015625,49376.4921875,8293.5,17100.0,26914.28515625,33800.0,23526.775390625,15480.2255859375,61092.53125,41200.0,16109.6806640625,20425.0,105000.0,61421.33984375,19470.8984375,18250.0
2024-10-08,21175.869140625,67670.015625,39968.578125,24429.259765625,106230.453125,113117.6953125,68272.6640625,34238.703125,17477.57421875,22458.333984375,26557.515625,16397.892578125,75200.0,64275.17578125,43201.890625,49028.16015625,8217.0615234375,17100.0,26719.255859375,33700.0,23770.322265625,15524.455078125,60760.50390625,41600.0,16109.6806640625,20450.0,104800.0,62428.2421875,19568.25390625,18350.0
2024-10-09,21798.689453125,67374.515625,40418.125,24668.427734375,107256.3828125,114470.3828125,68366.703125,34824.81640625,17349.0625,22916.666015625,26796.7734375,16658.17578125,77000.0,63289.359375,42960.0,49115.2421875,8255.2802734375,17500.0,26621.740234375,34150.0,24013.87109375,15568.6845703125,60428.484375,42500.0,16109.6806640625,20800.0,105600.0,62062.09375,19714.28515625,18500.0
2024-10-10,21757.16796875,67276.015625,40663.33203125,24702.595703125,108002.5234375,119796.5390625,68930.9375,34824.81640625,17638.21484375,22708.333984375,26557.515625,16593.10546875,80000.0,64078.01171875,43056.7578125,50247.33203125,8217.0615234375,17500.0,26865.529296875,33600.0,23916.453125,15435.99609375,61026.125,42150.0,16025.7763671875,20700.0,106000.0,61970.5546875,20006.349609375,18450.0
2024-10-11,21674.125,67276.015625,40377.25390625,24770.927734375,107722.71875,118021.1484375,68836.8984375,34678.28515625,17573.958984375,22750.0,26198.630859375,16625.640625,81100.0,63585.10546875,43250.26953125,50073.1640625,8255.2802734375,17600.0,26768.013671875,33800.0,23819.033203125,15480.2255859375,60760.50390625,43600.0,16025.7763671875,20900.0,108900.0,61970.5546875,20152.380859375,19000.0
2024-10-14,21549.560546875,67276.015625,40377.25390625,24634.26171875,108375.578125,116330.296875,68554.78125,35459.76953125,17349.0625,22541.666015625,25879.623046875,16820.853515625,80300.0,62697.87109375,43008.37890625,49811.9140625,8255.2802734375,17400.0,26963.04296875,33900.0,23721.61328125,15435.99609375,60694.1015625,45350.0,15983.822265625,21075.0,107300.0,61512.87109375,20103.703125,19150.0
2024-10-15,21466.51953125,66783.5078125,40867.66796875,24702.595703125,107629.453125,115823.0625,68366.703125,34922.50390625,17445.447265625,22625.0,25680.240234375,16690.7109375,80800.0,63486.5234375,41460.26953125,49724.83203125,8255.2802734375,17400.0,26572.982421875,33700.0,23624.193359375,15435.99609375,60694.1015625,44650.0,16109.6806640625,20825.0,105900.0,61146.7265625,20298.412109375,18800.0
2024-10-16,21383.4765625,66783.5078125,40745.06640625,24805.09765625,107442.921875,115231.25,67708.4296875,35264.40234375,17381.19140625,22583.333984375,25321.35546875,16593.10546875,80400.0,64570.921875,40492.703125,50334.4140625,8217.0615234375,16700.0,26426.708984375,33600.0,23575.484375,15480.2255859375,60760.50390625,45000.0,16067.728515625,20750.0,105800.0,61787.484375,20298.412109375,18700.0
